symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-07-07,13,209.67,210.5,208.91,208.9404,1.59
AAPL,2025-07-07,14,208.94,210.07,208.8,209.45,1.27
AAPL,2025-07-07,15,209.46,210.25,209.19,209.94,1.06
AAPL,2025-07-08,9,210.13,210.46,208.45,209.28,2.01001
AAPL,2025-07-08,10,209.285,211.43,209.26,209.8707,2.17
AAPL,2025-07-08,11,209.88,211.185,209.78,210.83,1.405
AAPL,2025-07-08,12,210.84,210.89,209.5,209.835,1.39
AAPL,2025-07-08,13,209.84,210.26,209.32,209.945,0.93999
AAPL,2025-07-08,14,209.95,210.045,209.405,209.605,0.64
AAPL,2025-07-08,15,209.59,210.34,209.3,210.035,1.03999
AAPL,2025-07-09,9,209.53,210.9,209.35,209.91,1.54999
AAPL,2025-07-09,10,209.89,209.9,207.22,207.805,2.67999
AAPL,2025-07-09,11,207.81,208.22,207.2659,207.8,0.9541
AAPL,2025-07-09,12,207.8104,209.045,207.5714,208.9156,1.4736
AAPL,2025-07-09,13,208.915,209.98,208.72,209.7325,1.25999
AAPL,2025-07-09,14,209.745,210.19,209.62,209.89,0.57001
AAPL,2025-07-09,15,209.88,211.33,209.73,211.11,1.60001
AAPL,2025-07-10,9,210.505,212.2999,210.12,212.01,2.1799
AAPL,2025-07-10,10,212.03,213.48,211.9,212.98,1.58
AAPL,2025-07-10,11,212.99,213.18,211.83,212.08,1.34999
AAPL,2025-07-10,12,212.07,212.78,211.85,212.62,0.92999
AAPL,2025-07-10,13,212.61,213.16,212.31,212.6,0.85001
AAPL,2025-07-10,14,212.5949,213.45,212.57,212.575,0.87999
AAPL,2025-07-10,15,212.58,213.02,212.09,212.42,0.93001
AAPL,2025-07-11,9,210.565,212.13,209.86,211.79,2.27
AAPL,2025-07-11,10,211.79,211.79,210.48,210.825,1.31
AAPL,2025-07-11,11,210.83,211.21,210.4283,210.635,0.78171
AAPL,2025-07-11,12,210.62,211.29,210.45,211.165,0.84
AAPL,2025-07-11,13,211.155,211.6598,210.952,211.405,0.70781
AAPL,2025-07-11,14,211.41,211.517,210.62,211.16,0.897
AAPL,2025-07-11,15,211.13,211.4,211.0293,211.075,0.3707
AAPL,2025-07-14,9,209.909,210.91,207.54,208.03,3.37001
AAPL,2025-07-14,10,208.03,208.8917,207.825,208.765,1.0667
AAPL,2025-07-14,11,208.77,209.18,208.56,208.8407,0.62
AAPL,2025-07-14,12,208.85,209.33,208.7602,209.0,0.56981
AAPL,2025-07-14,13,209.0133,209.45,208.9608,209.0,0.4892
AAPL,2025-07-14,14,209.0,209.4073,208.8701,209.1999,0.5372
AAPL,2025-07-14,15,209.17,209.19,208.52,208.54,0.67
AAPL,2025-07-15,9,209.15,211.13,208.92,210.17,2.21001
AAPL,2025-07-15,10,210.14,211.43,209.1977,211.43,2.2323
AAPL,2025-07-15,11,211.43,211.89,210.36,210.68,1.53
AAPL,2025-07-15,12,210.695,211.07,210.38,210.6727,0.69
AAPL,2025-07-15,13,210.685,211.67,210.66,211.375,1.00999
AAPL,2025-07-15,14,211.3889,211.48,209.96,210.18,1.51999
AAPL,2025-07-15,15,210.203,210.29,208.99,209.01,1.29999
AAPL,2025-07-16,9,210.29,212.4,209.9105,212.085,2.48949
AAPL,2025-07-16,10,212.11,212.1845,209.29,210.12,2.8945
AAPL,2025-07-16,11,210.1488,210.5,208.64,209.59,1.86
AAPL,2025-07-16,12,209.6,210.948,209.37,210.35,1.578
AAPL,2025-07-16,13,210.34,210.6319,209.871,210.0385,0.76089
AAPL,2025-07-16,14,210.04,210.5851,210.04,210.325,0.5451
AAPL,2025-07-16,15,210.32,210.6366,209.97,210.22,0.6666
AAPL,2025-07-17,9,210.625,211.01,209.59,209.95,1.42
AAPL,2025-07-17,10,209.94,210.83,209.77,210.44,1.06
AAPL,2025-07-17,11,210.45,211.45,210.105,211.39,1.345
AAPL,2025-07-17,12,211.3889,211.51,210.79,210.955,0.72
AAPL,2025-07-17,13,210.95,211.8,210.9001,211.28,0.8999
AAPL,2025-07-17,14,211.28,211.28,210.78,210.995,0.5
AAPL,2025-07-17,15,210.9999,211.05,209.74,210.061,1.31
AAPL,2025-07-18,9,210.755,211.01,209.7045,209.9543,1.3055
AAPL,2025-07-18,10,209.96,211.01,209.77,210.85,1.23999
AAPL,2025-07-18,11,210.855,211.13,210.68,211.01,0.45001
AAPL,2025-07-18,12,211.02,211.79,210.88,211.19,0.90999
AAPL,2025-07-18,13,211.18,211.54,210.76,210.935,0.78
AAPL,2025-07-18,14,210.93,211.195,210.79,210.95,0.40501
AAPL,2025-07-18,15,210.94,211.345,210.83,211.22,0.515
AAPL,2025-07-21,9,212.05,215.78,211.6409,214.645,4.1391
AAPL,2025-07-21,10,214.64,214.71,212.87,213.47,1.84001
AAPL,2025-07-21,11,213.46,213.71,213.16,213.3196,0.55
AAPL,2025-07-21,12,213.315,213.86,213.14,213.68,0.72
AAPL,2025-07-21,13,213.66,213.71,212.51,213.26,1.20001
AAPL,2025-07-21,14,213.2688,213.43,212.51,212.58,0.92
AAPL,2025-07-21,15,212.58,212.7186,212.07,212.54,0.64859
AAPL,2025-07-22,9,213.235,214.03,212.2301,213.2655,1.7999
AAPL,2025-07-22,10,213.26,213.69,212.72,213.4773,0.97
AAPL,2025-07-22,11,213.47,213.82,212.76,213.28,1.06001
AAPL,2025-07-22,12,213.24,214.48,212.84,214.4112,1.64
AAPL,2025-07-22,13,214.4,214.4234,213.44,213.71,0.9834
AAPL,2025-07-22,14,213.71,214.4199,213.71,214.185,0.7099
AAPL,2025-07-22,15,214.18,214.645,213.93,214.39,0.71501
AAPL,2025-07-23,9,215.045,215.1,212.41,212.9351,2.69
AAPL,2025-07-23,10,212.9499,213.17,212.5,213.15,0.67
AAPL,2025-07-23,11,213.15,213.81,212.65,213.5,1.16
AAPL,2025-07-23,12,213.5,214.2285,213.36,214.125,0.8685
